"methods","samples.P","samples.delta","samples.N0","samples.sigma.d","samples.sigma.p","samples.tau"
"Euc. Summary",17.1144496566323,0.400678223700517,12.6311867251214,0.639361636260371,0.112609294557483,5.93759439188832
"Euc. Summary",19.6726594946927,0.372692392637106,12.5931846845914,0.654044608343209,0.116322320831744,5.67702964518352
"Euc. Summary",19.6726594946927,0.372692392637106,12.5931846845914,0.654044608343209,0.116322320831744,5.67702964518352
"Euc. Summary",20.9907334493348,0.225854130972632,11.5866588523112,0.596432546587546,0.11552983048257,7.10445154095156
"Euc. Summary",20.9907334493348,0.225854130972632,11.5866588523112,0.596432546587546,0.11552983048257,7.10445154095156
"Euc. Summary",19.4137195820435,0.315338107756838,12.715309300794,0.632748767488044,0.116619031886676,5.39424541514473
"Euc. Summary",16.6080505260365,0.382413457359719,13.1726131194383,0.661920871147439,0.111966386975158,6.30803927865265
"Euc. Summary",21.1824682408854,0.487977766771266,12.1937924556605,0.695595900024033,0.117294379203323,5.65158146930593
"Euc. Summary",24.3800531969463,0.487967350061228,11.665599739424,0.686688436799227,0.122094116567197,4.60875088988222
"Euc. Summary",15.9794974729745,0.367431088479888,13.3323734391179,0.65600744055765,0.113500061641763,4.87457883783725
"Euc. Summary",15.9794974729745,0.367431088479888,13.3323734391179,0.65600744055765,0.113500061641763,4.87457883783725
"Euc. Summary",20.6742469193557,0.343740324316079,12.6060251916215,0.633856173764759,0.118669576350279,3.93971004244767
"Euc. Summary",17.2550600221786,0.455809261299546,13.1628790053351,0.693511590926231,0.115782517453901,6.34323199766783
"Euc. Summary",15.10339060323,0.243269316053649,13.0129895355335,0.59956768361118,0.110451507342157,8.13245271263111
"Euc. Summary",20.6113001613757,0.394881928158879,12.3534848816651,0.653957379635828,0.117247168996109,5.4903768432783
"Euc. Summary",20.6113001613757,0.394881928158879,12.3534848816651,0.653957379635828,0.117247168996109,5.4903768432783
"Euc. Summary",22.9553611996928,0.253674359848595,11.7965518466376,0.603532310178582,0.121610472381303,5.45987498802297
"Euc. Summary",20.7693279767094,0.362143526457883,11.5968440737818,0.645079545713542,0.116541914728859,6.13651263727414
"Euc. Summary",21.9280235600025,0.303298981294186,11.6828776937254,0.612009761243785,0.117544057971462,5.95788591609936
"Euc. Summary",20.2380404688027,0.453176457041673,12.7387081247554,0.66178619036283,0.117109557627674,2.80503838979704
"Euc. Summary",20.2380404688027,0.453176457041673,12.7387081247554,0.66178619036283,0.117109557627674,2.80503838979704
"Euc. Summary",18.1625724173113,0.459537638464954,13.1636471287092,0.667063130880069,0.11592888187533,4.10780511622607
"Euc. Summary",22.9250558975222,0.312900635450478,12.1972774218921,0.600740740318975,0.120434246133459,5.35098648301032
"Euc. Summary",23.8602786109443,0.340987752854685,11.3111383145223,0.630324943112779,0.119977046563065,5.26530841172421
"Euc. Summary",16.7490247490699,0.27466564690313,13.0393427340165,0.632139937181654,0.113673826229123,5.85972284330571
"Euc. Summary",15.7126381977544,0.414258645499493,12.8231222621275,0.664756013037611,0.112182323809241,5.78424293355883
"Euc. Summary",21.6048962526277,0.434787267753782,12.1621077793151,0.656724016676123,0.117651863752738,4.68364545164386
"Euc. Summary",25.1638407259584,0.421444728269482,11.480062952556,0.65916961556884,0.122186584066303,5.2222760203528
"Euc. Summary",17.2746216089636,0.361918706750302,11.5356258921589,0.655062978291663,0.112805175978292,10.7621587131345
"Euc. Summary",25.1638407259584,0.421444728269482,11.480062952556,0.65916961556884,0.122186584066303,5.2222760203528
"Euc. Summary",25.1638407259584,0.421444728269482,11.480062952556,0.65916961556884,0.122186584066303,5.2222760203528
"Euc. Summary",25.1638407259584,0.421444728269482,11.480062952556,0.65916961556884,0.122186584066303,5.2222760203528
"Euc. Summary",23.2200292208987,0.443163918776808,11.6108442351382,0.653743017223638,0.119638262366327,4.68130917764746
"Euc. Summary",23.2200292208987,0.443163918776808,11.6108442351382,0.653743017223638,0.119638262366327,4.68130917764746
"Euc. Summary",23.2200292208987,0.443163918776808,11.6108442351382,0.653743017223638,0.119638262366327,4.68130917764746
"Euc. Summary",22.2320387131793,0.440980940144905,11.9758179367877,0.666598157295566,0.117842643462926,5.10403156490774
"Euc. Summary",23.976539587506,0.258521177554395,11.6181701102139,0.583118191304762,0.120786860121912,5.01668889527592
"Euc. Summary",23.4681225644401,0.475202922554261,11.7432896250599,0.703066237120364,0.122649666834234,5.71948521897657
"Euc. Summary",21.0215888808287,0.329972065446176,11.9441240303386,0.622729766986039,0.116502173612293,6.30183801717837
